iter	Logloss
168	0.3820301568
169	0.3815900287
170	0.3812247604
171	0.3807399497
172	0.3806923731
173	0.3802970094
174	0.3797952103
175	0.3793353207
176	0.3790182686
177	0.3785169513
178	0.3780999701
179	0.377754058
180	0.3773564685
181	0.3768236965
182	0.3765176937
183	0.3761848966
184	0.3758223599
185	0.3753064616
186	0.3749776058
187	0.374425085
188	0.3743601897
189	0.3737847076
190	0.3734264133
191	0.3730900405
192	0.3727439487
193	0.3721976499
194	0.3719749022
195	0.371771272
196	0.3714915103
197	0.3714313391
198	0.3711456676
199	0.370727739
200	0.3702844899
201	0.3698820646
202	0.3695039143
203	0.3690371035
204	0.3686478438
205	0.3680483721
206	0.3676687255
207	0.3672741779
208	0.3669477474
209	0.366709558
210	0.3664551348
211	0.3662447622
212	0.3658586674
213	0.3655794605
214	0.36505451
215	0.3647731065
216	0.3643010221
217	0.36400512
218	0.3637470758
219	0.3633619106
220	0.362970779
221	0.3626129144
222	0.3622653534
223	0.3619662748
224	0.3615982938
225	0.3613042143
226	0.3609944008
227	0.3605465458
228	0.3602570645
229	0.3600386098
230	0.3598034122
231	0.359634081
232	0.3592225047
233	0.3588637045
234	0.3585992834
235	0.3583049486
236	0.3578952258
237	0.3574600216
238	0.3569810316
239	0.3566141603
240	0.3564238781
241	0.3560482722
242	0.3557089725
243	0.3554845083
244	0.3550656622
245	0.3548440348
246	0.3545681845
247	0.3542152532
248	0.3539029351
249	0.3536860034
250	0.3534575594
251	0.3531828516
252	0.353181533
253	0.3528581102
254	0.3524866776
255	0.3522452436
256	0.3520637616
257	0.3515896454
258	0.3515566477
259	0.3514249313
260	0.3512385897
261	0.3508877736
262	0.3506520042
263	0.350473104
264	0.3502481882
265	0.3501317063
266	0.3498483417
267	0.3496237092
268	0.3494808771
269	0.3492547069
270	0.3488967617
271	0.3486958517
272	0.3486312798
273	0.3483577761
274	0.3481550562
275	0.3480739864
276	0.347869188
277	0.3474183857
278	0.3471178107
279	0.3466233789
280	0.3461794161
281	0.3459724211
282	0.345686664
283	0.3454327141
284	0.3452112396
285	0.3449857604
286	0.3447082725
287	0.3445016787
288	0.344338753
289	0.3441920329
290	0.3439877146
291	0.3435993121
292	0.3433457712
293	0.3430630825
294	0.3427921254
295	0.3426654513
296	0.3425570754
297	0.3423234878
298	0.3422290969
299	0.3419684124
300	0.3416792636
301	0.3414070967
302	0.3411848223
303	0.3408952906
304	0.3407193664
305	0.3405743433
306	0.3403911663
307	0.3402275883
308	0.3397926718
309	0.3396544474
310	0.3394919699
311	0.3393366635
312	0.3391619543
313	0.3390327511
314	0.3388051344
315	0.338578703
316	0.3384812961
317	0.3381946444
318	0.3379135027
319	0.3377026541
320	0.3374575963
321	0.3371062279
322	0.3367869906
323	0.3365300757
324	0.3363687034
325	0.3362328726
326	0.3360800173
327	0.3359628594
328	0.3357774863
329	0.3354952452
330	0.3354152745
331	0.3350617266
332	0.3348257952
333	0.3346367968
334	0.334288426
335	0.3340541052
336	0.333900564
337	0.3337032528
338	0.3334268723
339	0.333071932
340	0.3329105463
341	0.3328755346
342	0.332851911
343	0.3326991211
344	0.3325833267
345	0.3324231684
346	0.3322383566
347	0.3320389155
348	0.3317725594
349	0.3316013739
350	0.3313386927
351	0.3310784239
352	0.3309266821
353	0.3308305709
354	0.3306107076
355	0.3304097839
356	0.3302607902
357	0.3299579236
358	0.3298114418
359	0.3294916249
360	0.3292718365
361	0.3289714618
362	0.3286957646
363	0.3285536401
364	0.3283589746
365	0.3280872641
366	0.3278674492
367	0.3276947464
368	0.3276288524
369	0.3275075151
370	0.3275007363
371	0.3273657852
372	0.3272391248
373	0.3270333335
374	0.3268972486
375	0.3265799731
376	0.3263998653
377	0.326188394
378	0.3260078383
379	0.3257456789
380	0.3256693263
381	0.3255575279
382	0.3252882345
383	0.3251625718
384	0.3249396901
385	0.324780956
386	0.3246472195
387	0.3243129023
388	0.324143883
389	0.3241429235
390	0.3239798725
391	0.3237907621
392	0.3234441734
393	0.3230939371
394	0.3229760508
395	0.3226990914
396	0.3226002577
397	0.3222318156
398	0.3218965213
399	0.3217537111
400	0.3214907354
401	0.321336073
402	0.3212943458
403	0.321017913
404	0.3209594281
405	0.3209489077
406	0.3205921595
407	0.3205743774
408	0.3203157285
409	0.3201939784
410	0.3200558274
411	0.3199051498
412	0.3197128873
413	0.3197116269
414	0.319563942
415	0.3194074299
416	0.3193208445
417	0.3190599132
418	0.31886384
419	0.3184804912
420	0.3183045561
421	0.3182001773
422	0.3180179246
423	0.3177711938
424	0.3176658601
425	0.3174544508
426	0.3173296875
427	0.3171850512
428	0.3169424854
429	0.3169130954
430	0.3167621612
431	0.3164216773
432	0.3163079353
433	0.3162092742
434	0.3160780877
435	0.3158787912
436	0.3158782947
437	0.315738437
438	0.3156464542
439	0.3155439292
440	0.3154550911
441	0.3151970488
442	0.3150883295
443	0.3150721085
444	0.3150718219
445	0.3149368591
446	0.3147755459
447	0.3145679635
448	0.3144919253
449	0.3142888017
450	0.3141721657
451	0.3139776008
452	0.3138517898
453	0.3136394369
454	0.313503871
455	0.3132516335
456	0.3131001803
457	0.3129774468
458	0.3129507296
459	0.3129394065
460	0.312862642
461	0.3126372488
462	0.3124287583
463	0.3121302532
464	0.3121149982
465	0.3120274088
466	0.3118425508
467	0.3118420844
468	0.3116623267
469	0.3114547025
470	0.311380507
471	0.3112919136
472	0.3110762875
473	0.3107191094
474	0.3105629994
475	0.3102570474
476	0.3100348256
477	0.3097609231
478	0.3095612226
479	0.3094899176
480	0.3092833055
481	0.3089996867
482	0.3088939763
483	0.3087236395
484	0.3085973527
485	0.308450226
486	0.3082190511
487	0.307993288
488	0.3077724691
489	0.3076064274
490	0.3074846936
491	0.3074323925
492	0.307336017
493	0.3071076406
494	0.3070287259
495	0.3067379589
496	0.306573508
497	0.306410719
498	0.3061824792
499	0.3060418263
